class	condition	object	pos	value
C	A	41	33.3333333333	0.0
C	A	40	33.3333333333	1.19592015273
C	A	48	33.3333333333	3.32597494411
C	B	45	33.3333333333	0.0
C	B	49	33.3333333333	2.38048316099
C	B	53	33.3333333333	3.17886201001
B	B	23	33.3333333333	1.15560288366
C	B	41	33.3333333333	0.0
C	B	40	33.3333333333	2.11950724537
C	B	48	33.3333333333	1.72785947899
C	C	45	33.3333333333	0.726850394724
C	C	49	33.3333333333	2.2474548395
C	C	53	33.3333333333	1.82725077535
B	C	23	33.3333333333	1.95669048096
C	C	41	33.3333333333	0.0
C	C	40	33.3333333333	1.02599546616
C	C	48	33.3333333333	0.958894629885
A	A	4	33.3333333333	0.0
B	A	32	33.3333333333	0.0
B	A	37	33.3333333333	0.138582518357
B	A	36	33.3333333333	0.0
B	A	31	33.3333333333	1.03795567155
B	A	26	33.3333333333	0.0
A	B	4	33.3333333333	0.0
B	B	32	33.3333333333	0.0
B	B	37	33.3333333333	2.28036991428
B	B	36	33.3333333333	0.0
B	B	31	33.3333333333	0.868487650186
B	B	26	33.3333333333	0.0
A	C	4	33.3333333333	0.0
B	C	32	33.3333333333	0.0
B	C	37	33.3333333333	2.39655190137
B	C	36	33.3333333333	0.0
B	C	31	33.3333333333	1.24525894649
B	C	26	33.3333333333	0.0
A	A	0	33.3333333333	0.0
B	A	21	33.3333333333	1.13245049851
C	A	55	33.3333333333	5.11785496852
C	A	42	33.3333333333	1.78472591894
B	A	38	33.3333333333	0.0
A	A	14	33.3333333333	0.0
A	A	1	33.3333333333	0.226771150386
A	B	0	33.3333333333	0.0
B	B	21	33.3333333333	0.0
C	B	55	33.3333333333	4.83574650475
C	B	42	33.3333333333	4.49413952614
B	B	38	33.3333333333	0.0
A	B	14	33.3333333333	0.0
A	B	1	33.3333333333	2.96111097872
A	C	0	33.3333333333	0.0
B	C	21	33.3333333333	0.854148887971
C	C	55	33.3333333333	0.512760875658
C	C	42	33.3333333333	2.1813210858
B	C	38	33.3333333333	0.0
A	C	14	33.3333333333	0.0
A	C	1	33.3333333333	0.749191841714
B	A	29	33.3333333333	0.0
B	A	16	33.3333333333	0.0
C	A	58	33.3333333333	5.9488678008
B	A	28	33.3333333333	0.0
B	A	25	33.3333333333	0.0
A	A	8	33.3333333333	0.588298000045
B	B	29	33.3333333333	0.0
B	B	16	33.3333333333	0.0
C	B	58	33.3333333333	1.95817971822
B	B	28	33.3333333333	0.0
B	B	25	33.3333333333	0.0
A	B	8	33.3333333333	0.529474158408
B	C	29	33.3333333333	0.0
B	C	16	33.3333333333	0.0
C	C	58	33.3333333333	0.93680638884
B	C	28	33.3333333333	0.0
B	C	25	33.3333333333	0.0
A	C	8	33.3333333333	0.906890595609
C	A	50	33.3333333333	3.69519543457
B	A	39	33.3333333333	0.0
B	A	20	33.3333333333	0.413327614123
C	A	56	33.3333333333	2.6351147282
A	A	13	33.3333333333	0.612113720632
A	A	3	33.3333333333	0.0
A	A	6	33.3333333333	0.0
C	B	50	33.3333333333	0.491247678598
B	B	39	33.3333333333	0.0
B	B	20	33.3333333333	0.0798006594572
C	B	56	33.3333333333	5.75014637145
A	B	13	33.3333333333	1.36754496143
A	B	3	33.3333333333	0.0
A	B	6	33.3333333333	1.94995918172
C	C	50	33.3333333333	0.908703788995
B	C	39	33.3333333333	0.0
B	C	20	33.3333333333	0.371658105466
C	C	56	33.3333333333	3.06313632003
A	C	13	33.3333333333	1.45193692634
A	C	3	33.3333333333	0.0
A	C	6	33.3333333333	1.68011952912
C	A	54	44.4444444444	5.17616169728
B	A	17	44.4444444444	0.0
C	A	46	44.4444444444	0.703925493939
C	A	59	44.4444444444	6.53327017289
B	A	19	44.4444444444	0.0
C	B	54	44.4444444444	3.32060395898
B	B	17	44.4444444444	0.0
C	B	46	44.4444444444	2.31569287356
C	B	59	44.4444444444	5.75014637145
B	B	19	44.4444444444	0.0
C	C	54	44.4444444444	1.0
B	C	17	44.4444444444	0.0
C	C	46	44.4444444444	1.69634598363
C	C	59	44.4444444444	1.98578602651
B	C	19	44.4444444444	0.0
A	A	5	44.4444444444	0.0
B	A	22	44.4444444444	0.0
C	A	43	44.4444444444	0.0
A	B	5	44.4444444444	0.0
B	B	22	44.4444444444	0.0
C	B	43	44.4444444444	0.0
A	C	5	44.4444444444	0.0
B	C	22	44.4444444444	0.0
C	C	43	44.4444444444	0.0
B	A	33	44.4444444444	0.0
B	A	18	44.4444444444	0.396972694278
A	A	7	44.4444444444	0.0
A	A	12	44.4444444444	0.448181009399
C	A	47	44.4444444444	2.35484282583
B	B	33	44.4444444444	0.0
B	B	18	44.4444444444	0.383691575968
A	B	7	44.4444444444	0.0
A	B	12	44.4444444444	0.405864961357
C	B	47	44.4444444444	3.3154398658
B	C	33	44.4444444444	0.0
B	C	18	44.4444444444	1.30220965644
A	C	7	44.4444444444	0.0
A	C	12	44.4444444444	1.28599278911
C	C	47	44.4444444444	2.15338965035
A	A	2	44.4444444444	0.0
A	A	9	44.4444444444	0.0
